MSSubClass,MSZoning_C (all),MSZoning_FV,MSZoning_NA,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,LotFrontage,Street_Grvl,Street_Pave,Alley_Grvl,Alley_NA,Alley_Pave,LotArea,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Artery,Feedr,Norm,PosA,PosN,RRAe,RRAn,RRNe,RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,AsbShng,AsphShn,BrkComm,BrkFace,CBlock,CemntBd,HdBoard,ImStucc,MetalSd,NA,Plywood,Stone,Stucco,VinylSd,Wd Sdng,WdShing,ExterQual,ExterCond,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_NA,MasVnrType_None,MasVnrType_Stone,MasVnrArea,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual,BsmtCond,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_NA,BsmtExposure_No,0,Utilities_AllPub,Utilities_NA,Utilities_NoSeWa,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HeatingQC,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_NA,Electrical_SBrkr,0,0,1,BedroomAbvGr,2,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,GarageYrBlt,GarageFinish,GarageCars,0,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature_Gar2,MiscFeature_NA,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MiscVal,MoSold,YrSold,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_NA,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
60,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.7945552871391,0,1,0,1,0,1385.1135160101487,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10.330412131161864,5,0.125,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,0,1,0,0,0,196.0,0,0,1,0,0,0,4,3,0,0,0,0,1,8547.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,0,3.25,4493.964564014581,3,4,0,1,0,0,0,0,0,0.125,2,4.0,(0.025683322002811867+0j),3,3,2,0,476.42523023030594,0,0,0,0,0,1,0,0,0,0,2,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192.17990943702895,0,1,0,1,0,1533.9704248226928,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.585814486631532,8,0.02857142857142857,0.02857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0.0,0,1,0,0,0,0,4,3,0,1,0,0,0,9922.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,3,2.25,1803.4841200948276,3,3,0,1,0,0,0,0,0,0.02857142857142857,2,4.0,(-0.1767216853910438-0.12839582005737699j),3,3,2,88804,0.0,0,0,0,0,0,1,0,0,0,0,5,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.12869806985174,0,1,0,1,0,1741.4941421262977,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10.330412131161864,5,0.1,0.1111111111111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,0,1,0,0,0,162.0,0,0,1,0,0,0,4,3,0,0,1,0,0,6049.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,3,3.25,4643.947949197978,3,4,0,1,0,0,0,0,0,0.1,2,4.0,(0.20912498124930695+0j),3,3,2,0,272.19110933313016,0,0,0,0,0,1,0,0,0,0,9,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.07598931596323,0,1,0,1,0,1527.5755455018568,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10.330412131161864,5,0.010416666666666666,0.024390243902439025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,0,0.0,1,0,0,0,0,0,3,4,0,0,0,0,1,2430.0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,4,1.75,4200.693958027152,3,4,0,0,0,0,0,1,0,0.07692307692307693,1,9.0,(-0.4396177359898982-0.3194009812620939j),3,3,2,0,207.06279240848656,272,0,0,0,0,1,0,0,0,0,2,2006,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,203.76760608317105,0,1,0,1,0,2105.210950636808,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.125732532083184,5,0.09090909090909091,0.09090909090909091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,0,1,0,0,0,350.0,0,0,1,0,0,0,4,3,1,0,0,0,0,8105.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,3,3.25,5863.933789539155,4,4,0,1,0,0,0,0,0,0.09090909090909091,2,9.0,(0.08106839179779853+0j),3,3,2,36864,769.8727167525811,0,0,0,0,0,1,0,0,0,0,12,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,206.68202637700037,0,1,0,1,0,2088.068327885229,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.898648307306074,5,0.05555555555555555,0.0625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,1,0,0.0,0,0,0,0,0,1,4,3,0,0,0,0,1,8816.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,0,2.25,3122.476258556103,1,3,0,1,0,0,0,0,0,0.05555555555555555,1,4.0,(-0.12204358758872488-0.08866985665355584j),3,3,2,1600,164.31676725154983,0,320,0,0,0,0,0,1,0,700,10,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,177.85804573344834,0,1,0,1,0,1595.5347582311465,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12.125732532083184,5,0.14285714285714285,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,1,186.0,0,0,1,0,0,0,5,3,1,0,0,0,0,16586.5,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,4,2.75,2456.73931741106,3,4,0,1,0,0,0,0,0,0.14285714285714285,2,4.0,(0.30923371434960517+0j),3,3,2,65025,430.34056281043274,0,0,0,0,0,1,0,0,0,0,8,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130.02087373757038,0,1,0,1,0,1633.145278369332,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10.330412131161864,6,0.02631578947368421,0.02631578947368421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,240.0,0,1,0,0,0,0,4,3,0,0,1,0,0,8954.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,6,3.25,5471.643515465712,3,3,0,1,0,0,0,0,0,0.02631578947368421,2,4.0,(-0.11153665648922334-0.08103612437094584j),3,3,2,55225,2913.702798845483,228,0,0,0,0,0,0,1,0,350,11,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,111.96549676880197,0,1,0,1,0,1070.0427719104403,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.330412131161864,5,0.0125,0.01639344262295082,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0.0,1,0,0,0,0,0,3,3,0,0,0,0,1,476.0,1,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,0,0,6,2.0,4273.06779947258,2,6,0,0,0,0,0,1,0,0.0125,1,4.0,(-0.15445065602812633-0.1122149700827613j),2,3,2,8100,0.0,205,0,0,0,0,1,0,0,0,0,4,2008,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
190,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.33620739432779,0,1,0,1,0,1248.311939138002,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.898648307306074,6,0.013888888888888888,0.01639344262295082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0.0,1,0,0,0,0,0,3,3,0,0,0,0,1,10282.0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,6,1.75,1526.9558791872653,2,6,0,1,0,0,0,0,0,0.013888888888888888,2,1.0,(-0.14168404389865602-0.10293948343215205j),4,3,2,0,8.0,0,0,0,0,0,1,0,0,0,0,1,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
